Artist,Times Played,Artist - Song,Times Played
HOT CHIP,4,WET LEG - CATCH THESE FISTS,2
BILBAO,4,GROUPLOVE - TONGUE TIED,2
GENTLEMAN,4,NOGA EREZ - QUIET,2
SPORTFREUNDE STILLER,4,GIANT ROOKS - PINK SKIES,2
THE HIVES,4,GIANT ROOKS - FIGHT CLUB,2
KEANE,4,CLOUDY JUNE - RETAIL THERAPY,2
KETTCAR,4,PETER BJORN AND JOHN - YOUNG FOLKS,2
DRAMAS,4,DAÐI FREYR - MOVES TO MAKE,2
NAO YOSHIOKA FEAT. JARREAU VANDAL,4,BON IVER - THINGS BEHIND THINGS BEHIND THINGS,2
DARWIN DEEZ,4,ADEKUNLE GOLD - DO YOU MIND?,2
MALLRAT AND KITO,4,JUNGLE - DOMINOES,2
JAWNY,4,JUNGLE - THE HEAT,2
DOPE LEMON,4,JUNGLE - BUSY EARNIN',2
FRAEN,4,SPARKLING X DIGITALISM - KEEP RUNNING,2
DOMINIK HARTZ,4,GRIMES - OBLIVION,2
REGINA SPEKTOR,4,GRIMES - FLESH WITHOUT BLOOD,2
BLOND,4,NINA CHUBA - FATA MORGANA,2
APSILON,4,NINA CHUBA - UNSICHER,2
BBNO$,4,SOHN - ARTIFICE,2
TASH SULTANA,4,SOHN - OBLIVION,2
RIHANNA,4,JADE BIRD - AVALANCHE,2
KITSCHKRIEG FEAT. ARZ,4,KAKKMADDAFAKKA - FOREVER ALONE,2
COACH PARTY,4,BLOSSOMS - THE HONEYMOON,2
FONTAINES D.C.,4,LOUPE - TESTED WATERS,2
FAZERDAZE,4,"LOUPE - IT’S GETTING WILD, GETTING OLDER",2
IAN O'BRIEN-DOCKER,4,LOUPE - CAUGHT IN THE MOMENT,2
M.I.A.,4,ROYEL OTIS - MOODY,2
LIE NING,4,"ALUNAGEORGE - YOUR DRUMS, YOUR LOVE",2
THE KILLERS,4,PHILINE SONNY - BERLIN,2
SUGABABES,4,PHILINE SONNY - DRUGS,2
MURA MASA,4,ZIMMER90 - FEEL MYSELF,2
IDA KUDO,4,NELLY FURTADO - I'M LIKE A BIRD,2
BALTHAZAR,4,NELLY FURTADO - **** ON THE RADIO,2
MAYA JANE COLES,4,BENJAMIN AMARU & KANTEREIT - THE FOOL,2
THE XX,4,ALMOST MONDAY - CAN'T SLOW DOWN,2
AMILLI FEAT. SHELTER BOY,4,ALMOST MONDAY - SHE LIKES SPORTS,2
TRAVIS,4,ALMOST MONDAY - JUPITER,2
