Artist,Times Played,Artist - Song,Times Played
DUFFY,6,BLEU SOLEIL & LUIZA - SOLEIL BLEU,5
PORTUGAL. THE MAN,6,BROOKE FRASER - SOMETHING IN THE WATER,5
CALUM SCOTT,6,"RUDIMENTAL FEAT. JESS GLYNNE, MACKLEMORE & DAN CAPLEN - THESE DAYS",5
MELANIE C,6,JOEL CORRY FEAT. CHARLI XCX & SAWEETIE - OUT OUT,5
NATHAN EVANS,6,FUN. FEAT. JANELLE MONÁE - WE ARE YOUNG,5
PHARRELL WILLIAMS,6,DUA LIPA FEAT. PIERRE DE MAERE - THESE WALLS,5
DIDO,6,DNCE - CAKE BY THE OCEAN,5
UDO LINDENBERG & APACHE 207,6,THE BOSSHOSS FEAT. THE TIJUANA WONDERBRASS - DON'T GIMME THAT,5
PETER FOX,6,ERIC PRYDZ - CALL ON ME,5
JAYMES YOUNG,6,BEBE REXHA - HEART WANTS WHAT IT WANTS,5
REAMONN,6,DIE FANTASTISCHEN VIER - TROY,5
BLUE,6,CLEAN BANDIT AND MABEL FEAT. 24KGOLDN - TICK TOCK,5
GUNS'N'ROSES,6,KWABS - WALK,5
RAG'N'BONE MAN,6,VIZE & TOM GREGORY - NEVER LET ME DOWN,5
SOPHIE ELLIS-BEXTOR,5,SHABOOZEY - A BAR SONG (TIPSY),5
JULIA MICHAELS,5,SIA - TOGETHER,4
NICKY YOURE X DAZY,5,MICHAEL BUBLÉ - IT'S A BEAUTIFUL DAY,4
LADY ANTEBELLUM,5,MICHAEL BUBLÉ - HAVEN'T MET YOU YET,4
DAVID GUETTA & BECKY HILL & ELLA HENDERSON,5,LEONY - FADED LOVE,4
SEAN PAUL,5,ANDREAS BOURANI - NUR IN MEINEM KOPF,4
THE CORRS,5,ANDREAS BOURANI - AUF UNS,4
MARY J. BLIGE,5,AMY MACDONALD - MR ROCK & ROLL,4
ELVIS PRESLEY VS. JXL,5,LOUANE - AVENIR,4
AEROSMITH,5,REA GARVEY - PERFECT IN MY EYES,4
MANU CHAO,5,WIR SIND HELDEN - DENKMAL,4
PURPLE DISCO MACHINE X KUNGS,5,ALFA FEAT. MANU CHAO - A ME MI PIACE,4
CHRISTINA AGUILERA,5,NELLY FURTADO - I'M LIKE A BIRD,4
WINCENT WEISS & JOHANNES OERDING,5,MANDO DIAO - DANCE WITH SOMEBODY,4
ALLE FARBEN X LEWIS THOMPSON FEAT. MAE MULLER,5,LIL NAS X - THATS WHAT I WANT,4
