Artist,Times Played,Artist - Song,Times Played
FALCO,5,CAT BURNS - KNOW THAT YOU'RE NOT ALONE,4
OFENBACH FEAT. NORMA JEAN MARTINE,5,BASTILLE - POMPEII,4
IGGI KELLY,4,FLEETWOOD MAC - LITTLE LIES,4
VANESSA CARLTON,4,BRYAN ADAMS FEAT. MELANIE C - WHEN YOU'RE GONE,4
"COLDPLAY FEAT. BURNA BOY, ELYANNA LITTLE SIMZ & TINI",4,MALIK HARRIS - ROCKSTARS,4
MR. PRESIDENT,4,SHANIA TWAIN - KA-CHING!,4
ALIZEE,4,THE STRUMBELLAS - SPIRITS,4
REVOLVERHELD,4,ANDREAS BOURANI - AUF UNS,4
ROBIN SCHULZ X DENNIS LLOYD,4,ROBIN SCHULZ X FAST BOY - MILLION GOOD REASONS,4
LUVCAT,4,YEARS & YEARS - KING,4
GOTYE FEAT. KIMBRA,4,LOST FREQUENCIES FEAT. JANIECK DEVY - REALITY,4
VANCE JOY,4,CALVIN HARRIS FEAT. RIHANNA - THIS IS WHAT YOU CAME FOR,4
VANESSA AMOROSI,4,SOPHIE ELLIS-BEXTOR - MURDER ON THE DANCEFLOOR,4
SNOW PATROL,4,STEFANIE HEINZMANN - GOOD,4
A-HA,4,VELLA - FREEDOM,4
APACHE 207,4,ADAM LAMBERT - WHATAYA WANT FROM ME,4
THE WEATHER GIRLS,4,MAX GIESINGER & JOHANNES OERDING - WIMPERNSCHLAG,4
MAXI PRIEST,4,CHRISTINA AGUILERA - GENIE IN A BOTTLE,4
WHITNEY HOUSTON,4,JOYA MARLEEN - DIFFICULT,4
REAMONN,4,ALICIA KEYS - UNDERDOG,4
DURAN DURAN,4,GLOCKENBACH X ELLA HENDERSON - LIFELINE,4
DAVID GUETTA & SIA,4,MARTIN SOLVEIG & DRAGONETTE - HELLO,4
DUFFY,4,CAPITAL CITIES - SAFE AND SOUND,4
OPM,4,SIDO FEAT. ANDREAS BOURANI - ASTRONAUT,4
ZOE WEES,4,REGARD - RIDE IT,4
THE KILLERS,4,NELLY FURTADO - SAY IT RIGHT,3
"ONEREPUBLIC, LEONY MEDUZA",4,NELLY FURTADO - MANEATER,3
FREDDIE MERCURY,4, - HOOK - NINA CHUBA - WILDBERRY LILLET,3
TOM GRENNAN,4,MAROON 5 - SHE WILL BE LOVED,3
BONNIE TYLER,4,KATY PERRY - PART OF ME,3
ALESSI ROSE,4,KATY PERRY - FIREWORK,3
MABEL,4,KATY PERRY - CALIFORNIA GURLS,3
THE BOSSHOSS & THE COMMON LINNETS,4,KATY PERRY - LAST FRIDAY NIGHT (T.G.I.F.),3
CASSANDRA STEEN &  ADEL TAWIL,4,CLOCKCLOCK - SOMEONE ELSE,3
SHAKIRA,4,ONEREPUBLIC - BEAUTIFUL COLORS,3
ARTEMAS,4,ECHOSMITH - COOL KIDS,3
TOM GREGORY X VIZE,4,PURPLE DISCO MACHINE X SOPHIE AND THE GIANTS - IN THE DARK,3
OF MONSTERS AND MEN,4,LEONY - REMEDY,3
CAT BURNS,4,THE KID LAROI & JUSTIN BIEBER - STAY,3
CHER,4,AVA MAX - SWEET BUT PSYCHO,3
STARSHIP,4,AVA MAX - SALT,3
LENNY KRAVITZ,4,DAVID GUETTA & ANNE-MARIE & COI LERAY - BABY DON'T HURT ME,3
RONAN KEATING,4,AVICII - ADDICTED TO YOU,3
BRYAN ADAMS FEAT. MELANIE C,4,MICHAEL PATRICK KELLY - BEAUTIFUL MADNESS,3
DAFT PUNK,4,JENNIFER LOPEZ - AIN'T YOUR MAMA,3
THE STRUMBELLAS,4,JENNIFER LOPEZ - AIN'T IT FUNNY,3
CRO,4,ALEX WARREN - ETERNITY,3
DIDO,4,TAYLOR SWIFT - BLANK SPACE,3
ROBIN SCHULZ X FAST BOY,4,PINK - JUST LIKE A PILL,3
THE CRANBERRIES,4,PINK - RAISE YOUR GLASS,3
YEARS & YEARS,4,PINK - COVER ME IN SUNSHINE,3
LOST FREQUENCIES FEAT. JANIECK DEVY,4,PINK - TRY,3
CALVIN HARRIS FEAT. RIHANNA,4,TINA TURNER - WHAT'S LOVE GOT TO DO WITH IT,3
THE REMBRANDTS,4,TINA TURNER - TYPICAL MALE,3
SOPHIE ELLIS-BEXTOR,4,ERASURE - ALWAYS,3
RAY DALTON,4,JUPITER JONES - STILL,3
GUNS N´ ROSES,4,MILEY CYRUS - MIDNIGHT SKY,3
ADAM LAMBERT,4,BACKSTREET BOYS - QUIT PLAYING GAMES (WITH MY HEART),3
MAX GIESINGER & JOHANNES OERDING,4,BACKSTREET BOYS - WE'VE GOT IT GOIN' ON,3
SUNRISE AVENUE,4,PROVINZ - GLAUBST DU,3
WILL SMITH,4,MODJO - LADY (HEAR ME TONIGHT),3
JOYA MARLEEN,4,REA GARVEY - PERFECT IN MY EYES,3
MR. MISTER,4,REA GARVEY - LET'S BE LOVERS TONIGHT,3
GLOCKENBACH X ELLA HENDERSON,4,MADONNA - AMERICAN PIE,3
METALLICA,4,MADONNA - HUNG UP,3
JASON DERULO,4,MYLES SMITH - STARGAZING,3
MARTIN SOLVEIG & DRAGONETTE,4,MICHAEL JACKSON - SMOOTH CRIMINAL,3
CULTURE BEAT,4,MICHAEL JACKSON - THRILLER,3
KINGS OF LEON,4,DEPECHE MODE - JUST CAN'T GET ENOUGH,3
CAPITAL CITIES,4,DEPECHE MODE - ENJOY THE SILENCE,3
SIDO FEAT. ANDREAS BOURANI,4,ROBBIE WILLIAMS - ROCK DJ,3
'NSYNC,4,ROBBIE WILLIAMS - BODIES,3
REGARD,4,GLOCKENBACH FEAT. ÁSDÍS - DIRTY DANCING,3
TOM GREGORY,4,BLONDIE - MARIA,3
ALANIS MORISSETTE,4,REVOLVERHELD - LASS UNS GEHEN,3
ECHOSMITH,3,HARRY STYLES - LATE NIGHT TALKING,3
PURPLE DISCO MACHINE X SOPHIE AND THE GIANTS,3,GAYLE - ABCDEFU,3
THE KID LAROI & JUSTIN BIEBER,3,KELLY CLARKSON - STRONGER (WHAT DOESN'T KILL YOU),3
JASON MRAZ,3,ADELE - SET FIRE TO THE RAIN,3
DAVID GUETTA & ANNE-MARIE & COI LERAY,3,ADELE - SOMEONE LIKE YOU,3
JUPITER JONES,3,SUGABABES - ROUND ROUND,3
PROVINZ,3,SEAL - CRAZY,3
MODJO,3,FINE YOUNG CANNIBALS - SHE DRIVES ME CRAZY,3
GEORGE MICHAEL,3,LAURELL - HABIT,3
MILKY CHANCE,3,AVRIL LAVIGNE - I'M WITH YOU,3
GLOCKENBACH FEAT. ÁSDÍS,3,BEYONCÉ - IF I WERE A BOY,3
BLONDIE,3,R.E.M. - LOSING MY RELIGION,3
GAYLE,3,NEA - SOME SAY,3
GIANT ROOKS,3,ED SHEERAN - A LITTLE MORE,3
FINE YOUNG CANNIBALS,3,ALVARO SOLER - MAGIA,3
LAURELL,3,VANCE JOY - RIPTIDE,3
NEA,3,SUPER-HI X NEEKA - FOLLOWING THE SUN,3
SUPER-HI X NEEKA,3,JUSTIN TIMBERLAKE - ROCK YOUR BODY,3
CROWDED HOUSE,3,CROWDED HOUSE - WEATHER WITH YOU,3
GLOCKENBACH X CLOCKCLOCK,3,GLOCKENBACH X CLOCKCLOCK - BROOKLYN,3
MEGHAN TRAINOR,3,WHITNEY HOUSTON - ONE MOMENT IN TIME,3
DAVID PUENTEZ,3,ANASTACIA - LEFT OUTSIDE ALONE,3
SASHA,3,COLDPLAY - PARADISE,3
LIL NAS X,3,COLDPLAY - HIGHER POWER,3
DEAN LEWIS,3,CLUESO - MINIMUM,3
CAMILA CABELLO,3,DAVID PUENTEZ - BURN,3
GLASS ANIMALS,3,LIL NAS X - STAR WALKIN',3
LIGHTHOUSE FAMILY,3,DAVID GUETTA & SIA - BEAUTIFUL PEOPLE,3
NEK,3,SHAWN MENDES - TREAT YOU BETTER,3
WELSHLY ARMS,3,SHAWN MENDES - WHY WHY WHY,3
FUN,3,WIR SIND HELDEN - NUR EIN WORT,3
TLC,3,GLASS ANIMALS - HEAT WAVES,3
ERIC PRYDZ,3,LIGHTHOUSE FAMILY - FREE,3
STING,3,NEK - LAURA NON C'E,3
THE HOOTERS,3,WELSHLY ARMS - SANCTUARY,3
THE CORRS,3,SPICE GIRLS - WANNABE,3
PHARRELL WILLIAMS,3,FUN - WE ARE YOUNG,3
AEROSMITH,3,THE KILLERS - HUMAN,3
NICKY YOURE X DAZY,3,JANET JACKSON - TOGETHER AGAIN,3
SEAN PAUL,3,THE HOOTERS - JOHNNY B,3
ALLE FARBEN FEAT. KIDDO,3,THE CORRS - BREATHLESS,3
CAPTAIN HOLLYWOOD PROJECT,3,BONNIE TYLER - TOTAL ECLIPSE OF THE HEART,3
OLIVIA RODRIGO,3,DR. ALBAN - SING HALLELUJAH!,3
DELTA GOODREM,3,ALESSI ROSE - SAME MOUTH,3
TOPIC X A7S,3,NICKY YOURE X DAZY - SUNROOF,3
UDO LINDENBERG & APACHE 207,3,ALLE FARBEN FEAT. KIDDO - ALRIGHT,3
MADCON FEAT. RAY DALTON,3,CAPTAIN HOLLYWOOD PROJECT - MORE AND MORE,3
BLUE,3,"TRAIN - HEY, SOUL SISTER",3
BELINDA CARLISLE,3,POST MALONE - CIRCLES,3
JENNIFER PAIGE,3,DELTA GOODREM - LOST WITHOUT YOU,3
DAVID GUETTA FEAT. CEDRIC GERVAIS & CHRIS WILLIS,3,TOPIC X A7S - OUT MY HEAD,3
THE GOO GOO DOLLS,3,IMAGINE DRAGONS - THUNDER,3
MAROON 5 FEAT. CHRISTINA AGUILERA,3,UDO LINDENBERG & APACHE 207 - KOMET,3
STROMAE,3,MADCON FEAT. RAY DALTON - DON'T WORRY,3
BANNERS,3,SIA - CHEAP THRILLS,3
KATE BUSH,3,LENA - LOOKING FOR LOVE,3
ATB,3,LENA - WHAT I WANT,3
TOVE LO,3,OLLY MURS - HEART SKIPS A BEAT,3
LAURA BRANIGAN,3,BELINDA CARLISLE - HEAVEN IS A PLACE ON EARTH,3
ELTON JOHN X BRITNEY SPEARS,3,LILY ALLEN - NOT FAIR,3
ENRIQUE IGLESIAS/ZION DESCEMER BUENO & LENNOX,3,OF MONSTERS AND MEN - LITTLE TALKS,3
SOUL ASYLUM,3,JENNIFER PAIGE - CRUSH,3
NO ANGELS,3,DAVID GUETTA FEAT. CEDRIC GERVAIS & CHRIS WILLIS - WOULD I LIE TO YOU,3
LAS KETCHUP,3,MAROON 5 FEAT. CHRISTINA AGUILERA - MOVES LIKE JAGGER,3
CARO EMERALD,3,BANNERS - SOMEONE TO YOU,3
MEDUZA X JAMES CARTER FEAT. ELLEY DUHE & FAST BOY,3,JULI - PERFEKTE WELLE,3
JORIS,3,KATE BUSH - RUNNING UP THAT HILL,3
TALK TALK,3,BON JOVI - YOU GIVE LOVE A BAD NAME,3
PLAIN WHITE T'S,3,DERMOT KENNEDY - GIANTS,3
ADEL TAWIL,3,ATB - 9 PM (TILL I COME),3
ELTON JOHN,3,TOVE LO - HABITS,3
ADMT,3,LAURA BRANIGAN - SELF CONTROL,3
MARC ATLAS,3,CAMOUFLAGE - LOVE IS A SHIELD,3
ASAF AVIDAN,3,ELTON JOHN X BRITNEY SPEARS - HOLD ME CLOSER,3
KATRINA & THE WAVES,3,ENRIQUE IGLESIAS/ZION DESCEMER BUENO & LENNOX - SÚBEME LA RADIO,3
