Artist,Times Played,Artist - Song,Times Played
SHAKIRA,5,JAMES BLUNT - BONFIRE HEART,4
LOREEN,5,QUEEN - A KIND OF MAGIC,4
MADNESS,5,ALICIA KEYS - GIRL ON FIRE,4
ROBIN SCHULZ X FAST BOY,5,ALICIA KEYS - UNDERDOG,4
YEARS & YEARS,5,RICK ASTLEY - NEVER GONNA GIVE YOU UP,4
TWENTY ONE PILOTS,5,CHARLES & EDDIE - WOULD I LIE TO YOU,4
A-HA,5,LYKKE LI - I FOLLOW RIVERS (THE MAGICIAN REMIX),4
FUGEES,5,THE CONNELLS - '74-'75,4
MIKE & THE MECHANICS,5,KWABS - WALK,4
ROBIN SCHULZ & RITA ORA & TIAG,5,THE BANGLES - MANIC MONDAY,4
LUIS FONSI FEAT. DADDY YANKEE,5,TAYLOR SWIFT - I KNEW YOU WERE TROUBLE,4
MARC COHN,4,BAKERMAT - ONE DAY (VANDAAG),4
FELIX JAEHN FEAT. ZOE WEES,4,KYGO - FIRESTONE,4
LOTTE & MAX GIESINGER,4,PET SHOP BOYS - ALWAYS ON MY MIND,4
MATTHEW WILDER,4,COLDPLAY - HIGHER POWER,4
WEEZER,4,STING - FIELDS OF GOLD,4
PETER FOX,4,KYLIE MINOGUE - CAN'T GET YOU OUT OF MY HEAD,4
PEDRO CAPÓ & FARRUKO,4,"BELL, BOOK & CANDLE - RESCUE ME",4
ANNA NAKLAB FEAT. ALLE FARBEN ,4,MICHAEL JACKSON - BILLIE JEAN,4
EVERYTHING BUT THE GIRL,4,MICHAEL JACKSON - BLACK OR WHITE,4
SIDO,4,TOM GREGORY - RIVER,4
PURPLE DISCO MACHINE FEAT. EYE,4,THE KID LAROI & JUSTIN BIEBER - STAY,4
RICK ASTLEY,4,CRAZY TOWN - BUTTERFLY,4
CHARLES & EDDIE,4,UNCLE KRACKER - FOLLOW ME,4
LYKKE LI,4,WHAM! - WAKE ME UP BEFORE YOU GO GO,4
THE CONNELLS,4,EROS RAMAZZOTTI - COSE DELLA VITA,4
KWABS,4,KIM WILDE - YOU KEEP ME HANGIN' ON,4
BAKERMAT,4,DAVID GUETTA X BECKY HILL X EL - CRAZY WHAT LOVE CAN DO,4
KYGO,4,GENESIS - INVISIBLE TOUCH,4
KYLIE MINOGUE,4,FLO RIDA - RIGHT ROUND,4
"BELL, BOOK & CANDLE",4,FLO RIDA - WHISTLE,4
THE KID LAROI & JUSTIN BIEBER,4,TLC - WATERFALLS,4
CRAZY TOWN,4,AVICII - WAKE ME UP,4
UNCLE KRACKER,4,SPIN DOCTORS - TWO PRINCES,4
WHAM!,4,SHAWN MENDES - TREAT YOU BETTER,4
BOSSE,4,TALK TALK - SUCH A SHAME,4
EROS RAMAZZOTTI,4,ROBBIE WILLIAMS - LOVE MY LIFE,4
SASH!,4,DOECHII - ANXIETY,4
KIM WILDE,4,IRENE CARA - WHAT A FEELING,4
DAVID GUETTA X BECKY HILL X EL,4,GINUWINE - PONY,4
SPIN DOCTORS,4,"KYGO, DONNA SUMMER - HOT STUFF",4
DOECHII,4,RIGHT SAID FRED - DON'T TALK JUST KISS,4
IRENE CARA,4,DESIRELESS - VOYAGE VOYAGE,4
GINUWINE,4,ROXETTE - THE LOOK,4
"KYGO, DONNA SUMMER",4,ROXETTE - SPENDING MY TIME,4
RIGHT SAID FRED,4,WALK THE MOON - SHUT UP AND DANCE,4
DESIRELESS,4,FINE YOUNG CANNIBALS - SHE DRIVES ME CRAZY,4
WALK THE MOON,4,AXWELL & INGROSSO - MORE THAN YOU KNOW,4
FINE YOUNG CANNIBALS,4,TASMIN ARCHER - SLEEPING SATELLITE,4
AXWELL & INGROSSO,4,AEROSMITH - CRYIN',4
TASMIN ARCHER,4,KYGO & TINA TURNER - WHAT'S LOVE GOT TO DO WITH IT,4
KYGO & TINA TURNER,4,MR. BIG - TO BE WITH YOU,4
GALA,4,CYNDI LAUPER - GIRLS JUST WANT TO HAVE FUN,4
CALVIN HARRIS FEAT. ELLIE GOUL,4,ONEREPUBLIC - BEAUTIFUL COLORS,4
VERVE,4,GALA - FREED FROM DESIRE,4
