Artist,Times Played,Artist - Song,Times Played
INNER CIRCLE,8,QUEEN - A KIND OF MAGIC,7
HADDAWAY,8,LYKKE LI - I FOLLOW RIVERS (THE MAGICIAN REMIX),7
MARC COHN,7,MADONNA - LA ISLA BONITA,7
MATTHEW WILDER,7,TAYLOR SWIFT - SHAKE IT OFF,7
DEEPEND,7,KYGO - HOT STUFF,7
PETER FOX,7,ROBIN SCHULZ - ONE MORE TIME,7
R.E.M,7,ROBIN SCHULZ - YOUNG RIGHT NOW,7
NEK,7,FELIX JAEHN FEA - ONE MORE TIME,7
ANNA NAKLAB,7,STING - FIELDS OF GOLD,7
JANIECK,7,MICHAEL JACKSON - SMOOTH CRIMINAL,7
WHITESNAKE,7,TOM GREGORY - RIVER,7
EVERYTHING BUT THE GIRL,7,TOM GREGORY - NEVER LET ME DOWN,7
LYKKE LI,7,MEDUZA - FIRE,7
FELIX JAEHN FEA,7,THE KID LAROI - STAY,7
BOSSE,7,EROS RAMAZZOTTI - COSE DELLA VITA,7
EROS RAMAZZOTTI,7,GEORGE EZRA - BLAME IT ON ME,7
KIM WILDE,7,KIM WILDE - YOU KEEP ME HANGIN' ON,7
MR. PROBZ,7,RIHANNA - STAY,7
DESIRELESS,7,MR. PROBZ - WAVES,7
REAMONN,7,TALK TALK - SUCH A SHAME,7
WALK THE MOON,7,TALK TALK - IT'S MY LIFE,7
FOOL'S GARDEN,7,DONNA SUMMER - HOT STUFF,7
DIE FANTASTISCHEN VIER,7,DESIRELESS - VOYAGE VOYAGE,7
KINGS OF LEON,7,ROXETTE - THE LOOK,7
MANFRED MANN'S EARTHBAND,7,ROXETTE - SPENDING MY TIME,7
SUGABABES,7,WALK THE MOON - SHUT UP AND DANCE,7
BEBE REXHA,7,FOOL'S GARDEN - LEMON TREE,7
MEREDITH BROOKS,7,ONE REPUBLIC - SECRETS,7
MASTER KG,7,MANFRED MANN'S EARTHBAND - FOR YOU,7
NO,7,BEBE REXHA - I'M GOOD (BLUE),7
PINK FLOYD,7,LA BOUCHE - BE MY LOVER,7
TRACY CHAPMAN,7,MEREDITH BROOKS - BITCH,7
BLINK-182,7,MASTER KG - JERUSALEMA,7
SPICE GIRLS,7,BURNA BOY - JERUSALEMA,7
KIIARA,7,NO - JERUSALEMA,7
RAINBIRDS,7,DR. ALBAN - SING HALLELUJAH,7
CAMILA CABELLO,7,BLINK-182 - ALL THE SMALL THINGS,7
SKIP MARLEY,7,WHITNEY HOUSTON - STEP BY STEP,7
24KGOLDN,7,SPICE GIRLS - WANNABE,7
IANN DIOR,7,RED HOT CHILI PEPPERS - UNDER THE BRIDGE,7
NIRVANA,7,KIIARA - HEAVY,7
EUROPE,7,OMI - CHEERLEADER (FELIX JAEHN REMIX),7
OPUS,7,ONEREPUBLIC - FIRE,7
G-EAZY,7,RAINBIRDS - BLUEPRINT,7
LOREEN,7,SKIP MARLEY - CHAINED TO THE RHYTHM,7
CARLY RAE JEPSEN,7,24KGOLDN - MOOD,7
THE KILLERS,7,IANN DIOR - MOOD,7
AXWELL,7,EUROPE - THE FINAL COUNTDOWN,7
