Artist,Times Played,Artist - Song,Times Played
ATB,30,TIESTO - LAY LOW,26
MARK RONSON,29,J BALVIN - MI GENTE,26
CHRIS LAKE,29,WILLY WILLIAM - MI GENTE,26
SAM HARPER,29,OLIVIA RODRIGO - GOOD 4 U,26
BOBBY HARVEY,29,KELLI-LEIGH - MORE THAN FRIENDS,26
VIZE,29,ZARA LARSSON - LUSH LIFE,26
TRAVIS SCOTT,28,KESHA - DIE YOUNG,26
FISHER,28,DADDY YANKEE - CON CALMA,26
WIZ KHALIFA ZERB,28,SNOW - CON CALMA,26
JACK HARLOW,28,TWOCOLORS - CYNICAL,26
DAMIANO DAVID,28,SAFRI DUO - CYNICAL,26
WET LEG,28,LYKKE LI - I FOLLOW RIVERS (THE MAGICIAN REMIX),26
24KGOLDN,28,MACKLEMORE - CAN'T HOLD US,26
IANN DIOR,28,RYAN LEWIS - CAN'T HOLD US,26
BRITNEY SPEARS,27,DUCK SAUCE - BARBRA STREISAND,26
NICKI MINAJ,27,TAYLOR SWIFT - I KNEW YOU WERE TROUBLE (TAYLOR'S VERSION),25
BUNT,27,APACHE 207 - WUNDER,25
ADELE,27,KUNGS - THIS GIRL,25
LMFAO,27,COOKIN' ON 3 BURNERS - THIS GIRL,25
ALFA,27,OLIVIA DEAN - NICE TO EACH OTHER,25
JOHN NEWMAN,27,SAINT JHN - ROSES (IMANBEK REMIX),25
REGARD,27,AYLIVA - WUNDER,25
REMA,27,JAN-CHRISTIAN ZELLER - 1LIVE MOVING MIX,25
INA WROLDSEN,27,RITON - FRIDAY (DOPAMINE RE-EDIT),25
CAMILA CABELLO,27,NIGHTCRAWLERS - FRIDAY (DOPAMINE RE-EDIT),25
JOEL CORRY,26,MUFASA - FRIDAY (DOPAMINE RE-EDIT),25
NATASHA BEDINGFIELD,26,HYPEMAN - FRIDAY (DOPAMINE RE-EDIT),25
KIMBRA,26,THE CHAINSMOKERS - PARIS,25
TIESTO,26,MIKE POSNER - I TOOK A PILL IN IBIZA (SEEB REMIX),25
WILLY WILLIAM,26,ZEDD - BREAK FREE,24
KELLI-LEIGH,26,RAYE - YOU DON'T KNOW ME,24
SNOW,26,AVICII - WAITING FOR LOVE,24
SAFRI DUO,26,BAUSA - 9 BIS 9,24
LYKKE LI,26,DUA LIPA - DANCE THE NIGHT,24
DUCK SAUCE,26,THE WEEKND - SAVE YOUR TEARS,24
COOKIN' ON 3 BURNERS,25,TOM ODELL - BLACK FRIDAY (PRETTY LIKE THE SUN),24
SAINT JHN,25,LOST FREQUENCIES - BLACK FRIDAY (PRETTY LIKE THE SUN),24
NIGHTCRAWLERS,25,DRAKE - HOLD ON WE'RE GOING HOME,24
MUFASA,25,SIRA - 9 BIS 9,24
HYPEMAN,25,BADCHIEFF - 9 BIS 9,24
RÜFÜS DU SOL,25,JAX JONES - YOU DON'T KNOW ME,24
MIKE POSNER,25,DAFT PUNK - GET LUCKY,24
INÉZ,25,PHARRELL - GET LUCKY,24
ANDERSON .PAAK,24,ZARA LARSSON - CAN'T TAME HER,24
PHARRELL,24,ARIANA GRANDE - BREAK FREE,24
BEYONCÉ,24,FIFTH HARMONY - WORTH IT,24
MARSHMELLO,24,21 SAVAGE - CREEPIN',24
CHARLI XCX,24,GAYLE - ABCDEFU,24
GAYLE,24,KID INK - WORTH IT,24
KID INK,24,TRINIX - VAITIMBORA,24
CYRIL,24,MARI FROES - VAITIMBORA,24
TRINIX,24,MABEL - DON'T CALL ME UP,24
MARI FROES,24,THE NEIGHBOURHOOD - SWEATER WEATHER,24
MABEL,24,AVICII - HEY BROTHER,23
TOVE LO,24,SNOOP DOGG - CALIFORNIA GURLS,23
THE NEIGHBOURHOOD,24,SHAWN MENDES - THERE'S NOTHING HOLDIN' ME BACK,23
ELLEY DUHÉ,24,SKI AGGU - PARTY SAHNE,23
THE WEEKND METRO BOOMIN',23,SHOUSE - LOVE TONIGHT,23
BOB SINCLAR,23,AYLIVA - HÄSSLICH,23
ASAF AVIDAN,23,HARRY STYLES - AS IT WAS,23
BEBE REXHA,23,HARRY STYLES - WATERMELON SUGAR,23
BOB MARLEY,22,KATY PERRY - CALIFORNIA GURLS,23
SOUTHSTAR,22,THE WEEKND METRO BOOMIN' - CREEPIN',23
ANNA NAKLAB,22,JONAS BROTHERS - ONLY HUMAN,23
ALLE FARBEN,22,ASAF AVIDAN - ONE DAY (RECKONING SONG) WANKELMUT REMIX,23
MNEK,22,LORDE - TEAM,23
JASMINE THOMPSON,22,SOUTHSTAR - MISS YOU,22
HIPPIE SABOTAGE,22,MEDUZA - PARADISE,22
GNASH,22,DERMOT KENNEDY - PARADISE,22
OLIVIA O'BRIEN,22,THE WEEKND - CRY FOR ME,22
CAPITAL CITIES,21,MAJOR LAZER - LIGHT IT UP,22
TOM GREGORY,21,MØ - FINAL SONG,22
MIGGY DELA ROSA,21,JOEL CORRY - HEAD & HEART,22
ELIZA ROSE,21,MNEK - HEAD & HEART,22
RAG'N'BONE MAN,20,PITBULL - TIMBER,22
OZUNA,20,COLDPLAY - MY UNIVERSE,22
KI,20,BTS - MY UNIVERSE,22
PAWSA,20,KESHA - TIMBER,22
ERIC PRYDZ,20,TWENTY ONE PILOTS - STRESSED OUT,22
NELLY,20,TOVE LO - HABITS (STAY HIGH) (HABITS REMIX),22
RONIS GOLIATH,20,HIPPIE SABOTAGE - HABITS (STAY HIGH) (HABITS REMIX),22
BEES WAKYIN,20,"GNASH - I HATE U, I LOVE U",22
