Artist,Times Played,Artist - Song,Times Played
RY X,8,"ALUNAGEORGE - YOUR DRUMS, YOUR LOVE",4
BLOWSOM,8,DOLORES FOREVER - WHY ARE YOU NOT SCARED YET?,4
DARWIN DEEZ,8,THE BLACK KEYS - TIGHTEN UP,4
BLOC PARTY,8,FRANK OCEAN - LOST,4
KATE KLEIN,8,SLØTFACE - FIGHT BACK TIME,4
MGMT,8,THE BUOYS - FIGHT BACK TIME,4
YSEULT,8,THE BEACHES - LAST GIRLS AT THE PARTY,4
CASPER,8,THE BEACHES - TAKES ONE TO KNOW ONE,4
WILL JOSEPH COOK,8,THE BEACHES - JOCELYN,4
LITTLE DRAGON,8,FOALS - MY NUMBER,4
MURA MASA,8,JAY-Z - CRAZY IN LOVE,4
LIZZO,8,TWO DOOR CINEMA CLUB - WHAT YOU KNOW,4
BEIRUT,8,DAYGLOW - MINDLESS CREATURES,4
DAS PARADIES,8,ANAÏS - STEPHEN KING,4
ED SHEERAN,8,ALFIE TEMPLEMAN - BECKHAM,4
PVRIS,8,ROX - I DON'T BELIEVE,4
THE KILLERS,8,JEREMIAS - SAG MIR WAS ICH NICHT WEISS,4
FUFFIFUFZICH,8,CHANNEL TRES - I'VE BEEN IN LOVE,4
THE STROKES,8,LP GIOBBI - IF LOVE IS A SKILL,4
COURTING,7,MACKLEMORE - CAN'T HOLD US,4
SHURA,7,RYAN LEWIS - CAN'T HOLD US,4
GRIMES,7,RAY DALTON - CAN'T HOLD US,4
AU,7,KITSCHKRIEG - REALLY RICH,4
RA,7,ANTI DA MENACE - REALLY RICH,4
INTERPOL,7,SFR - REALLY RICH,4
SOFFIE,7,BOY - LITTLE NUMBERS,4
SNOW PATROL,7,J. BERNARDT - TAXI,4
MATT CORBY,7,DJANGO DJANGO - COMPLETE ME,4
BLVTH,7,SILLY BOY BLUE - NOT A FRIEND,4
JACK HARLOW,7,BEABADOOBEE - CALIFORNIA,4
JULIA STONE,7,STILL WOOZY - SHOTPUT,4
BASTILLE,7,STILL WOOZY - RUN IT BACK,4
BAKAR,7,BASTILLE - OF THE NIGHT,4
THUNDERCAT,7,BAKAR - I'M DONE,4
HOT CHIP,7,BILDERBUCH - WILLKOMMEN IM DSCHUNGEL,4
JASCHA,7,D4VD - WORTHLESS,4
THE HIVES,7,JOLLE - PARISIENNE,4
KEANE,7,BBY - HOTLINE,4
